time,previous price,KPN Trade Volume,30 - 10 day MA,10day MA,1 Week momentum,GTO Close,ATC Close,output
0,2.773,17237738,-0.166533333,2.7233,0.045607,83.720001,1.05933,2.693
1,2.693,21724387,-0.1521,2.722,-0.040445,83.029999,1.0749,2.565
2,2.565,67443132,-0.1321,2.7103,-0.113588,83.889999,1.06285,2.634
3,2.634,22368951,-0.112466667,2.7017,-0.048189,84.07,1.0749,2.72
4,2.72,19410001,-0.096766667,2.6997,0.021514,86.669998,1.0749,2.717
5,2.717,14468636,-0.0855,2.7017,-0.006884,85.190002,1.08805,2.69
6,2.69,13512027,-0.072933333,2.7017,-0.098959,85.080002,1.09528,2.669
7,2.669,13373823,-0.059466667,2.6991,-0.104,86.239998,1.09528,2.608
8,2.608,56514422,-0.038933333,2.6874,-0.085,85.279999,1.1027,2.634
9,2.634,19695054,-0.013033333,2.6703,0.069,85.900002,1.1027,2.589
10,2.589,13252721,0.011033333,2.6519,-0.045,85.309998,1.1014,2.616
11,2.616,11537088,0.023766667,2.6442,-0.104,85,1.11567,2.707
12,2.707,14077345,0.017133333,2.6584,-0.01,84.879997,1.11011,2.67
13,2.67,16940832,0.0176,2.662,-0.02,82.769997,1.11567,2.698
14,2.698,13664940,0.0246,2.6598,0.029,79.120003,1.10826,2.712
15,2.712,12220025,0.029166667,2.6593,0.104,81.059998,1.11048,2.706
16,2.706,16831939,0.029833333,2.6609,0.072,81.400002,1.15644,2.659
17,2.659,10269929,0.028933333,2.6599,0.07,81.870003,1.1531,2.612
18,2.612,13650653,0.025133333,2.6603,-0.004,81.029999,1.162,2.594
19,2.594,16346579,0.024566667,2.6563,-0.113,81.300003,1.16015,2.585
20,2.585,10679011,0.021133333,2.6559,-0.085,81.5,1.16756,2.527
21,2.527,17065166,0.024066667,2.647,-0.171,78.089996,1.1494,2.577
22,2.577,16632655,0.033566667,2.634,-0.135,79.150002,1.16756,2.587
23,2.587,12543955,0.037433333,2.6257,-0.119,81.239998,1.16422,2.64
24,2.64,17965219,0.0399,2.6199,-0.019,84.580002,1.11567,2.616
25,2.616,13954540,0.0468,2.6103,0.004,82.010002,1.09751,2.63
26,2.63,15393073,0.0524,2.6027,0.036,79.300003,1.01967,2.66
27,2.66,11391249,0.051133333,2.6028,0.075,79.919998,1.04524,2.67
28,2.67,13306017,0.0435,2.6086,0.143,79.830002,1.05636,2.666
29,2.666,13687634,0.031666667,2.6158,0.089,80.910004,1.03524,2.595
30,2.595,21365703,0.024733333,2.6168,0.008,80.230003,1.11196,2.637
31,2.637,12840338,0.011866667,2.6278,-0.003,81.449997,1.13049,2.69
32,2.69,10584793,0.004733333,2.6391,0.074,81.129997,1.18609,2.683
33,2.683,12292806,-0.003233333,2.6487,0.053,80.269997,1.22872,2.65
34,2.65,14390313,-0.006566667,2.6497,-0.01,80.919998,1.19721,2.663
35,2.663,46217172,-0.013066667,2.6544,-0.007,82.730003,1.19795,2.551
36,2.551,28896247,-0.0098,2.6465,-0.115,82.769997,1.15644,2.538
37,2.538,22618838,-0.001966667,2.6343,-0.057,83.910004,1.16015,2.511
38,2.511,18833792,0.0107,2.6184,-0.126,84.660004,1.1746,2.487
39,2.487,20029588,0.0237,2.6005,-0.203,84.230003,1.19351,2.565
40,2.565,19120897,0.0259,2.5975,-0.118,84.400002,1.17497,2.565
41,2.565,14549112,0.0314,2.5903,-0.085,84.540001,1.19869,2.59
42,2.59,30938601,0.0375,2.5803,-0.073,86.410004,1.1898,2.611
43,2.611,23102727,0.042733333,2.5731,0.06,85.599998,1.18053,2.53
44,2.53,24615364,0.049133333,2.5611,-0.008,85.910004,1.162,2.516
45,2.516,20153208,0.0573,2.5464,0.005,86.150002,1.11715,2.516
46,2.516,13222615,0.054466667,2.5429,0.029,86.900002,1.2454,2.477
47,2.477,17950556,0.0545,2.5368,-0.088,85.830002,1.30618,2.505
48,2.505,14606047,0.051533333,2.5362,-0.06,85.110001,1.31953,2.485
49,2.485,10420049,0.0481,2.536,-0.105,84.730003,1.31582,2.435
50,2.435,20628539,0.0561,2.523,-0.176,83.309998,1.31397,2.416
51,2.416,26416735,0.0673,2.5081,-0.114,81.480003,1.31656,2.361
52,2.361,21170604,0.083,2.4852,-0.155,81.860001,1.31953,2.412
53,2.412,15734481,0.097066667,2.4653,-0.104,82.489998,1.31953,2.467
54,2.467,19120942,0.0976,2.459,-0.01,84.589996,1.33917,2.496
55,2.496,16752012,0.0956,2.457,-0.009,85.230003,1.40107,2.497
56,2.497,11972709,0.093066667,2.4551,0.012,84.449997,1.48262,2.511
57,2.511,17552960,0.0847,2.4585,0.076,82.300003,1.53451,2.464
58,2.464,18942312,0.081933333,2.4544,0.048,78.959999,1.54822,2.448
59,2.448,11383333,0.078366667,2.4507,0.087,79.43,1.53451,2.513
60,2.513,11478121,0.067833333,2.4585,0.101,80.589996,1.52413,2.562
61,2.562,19349067,0.050733333,2.4731,0.095,80.699997,1.52672,2.637
62,2.637,27256495,0.021366667,2.5007,0.141,79.919998,1.54377,2.61
