Date,KPN Close,AKZA Close,RAND Close,VPK Close,HEIA Close,Volume,%K 14day,%D 3,slow %D 3,RSI,ROC,momentum,OSCP,disparity 3,disparity 14,low 14,max 14,RS,ups,downs,ma 3,ma 14,output
04/02/2008,7.49368,57.014999,25.959999,17.059999,37.560001,25915216,90.51742524,83.84348135,64.65266776,50.35984028,100.6514282,0.29708,0.028366613,100.4877992,103.3382978,6.85708,7.56037,1.01449795,0,0.03638,7.457303333,7.2516,7.48762
05/02/2008,7.48762,54.360001,24.66,16.465,37.689999,61834147,89.65576078,91.95448061,80.63779771,51.28205128,99.03774551,0.13945,0.0343443,99.78455322,103.2115839,6.85708,7.56037,1.052631579,0,0.00606,7.503786667,7.254631429,7.59069
06/02/2008,7.59069,54.866199,24.370001,16.594999,36.299999,31237632,100,93.39106201,89.72967466,50.92267991,101.1308573,0.06063,0.036820586,100.8864083,104.601105,6.85708,7.59069,1.037601071,0.10307,0,7.523996667,7.256797143,7.66344
07/02/2008,7.66344,53.4487,23.15,15.92,35.700001,24831731,100,96.55192026,93.96582096,54.74437616,107.4829837,0.16976,0.043000066,101.0930118,105.4400179,6.85708,7.66344,1.209670125,0.07275,0,7.580583333,7.268056429,7.5725
08/02/2008,7.5725,53.763699,22.85,16.145,35.169998,19633019,88.72215884,96.24071961,95.39456729,66.07933036,106.2978586,0.08488,0.042358992,99.52191804,103.7375662,6.85708,7.66344,1.948055008,0,0.09094,7.608876667,7.29967,7.82107
11/02/2008,7.82107,53.6063,22.67,16.1,34.650002,29556244,100,96.24071961,96.34445316,71.53535378,114.0583164,0.23038,0.045744592,101.7617202,106.4167686,6.85708,7.82107,2.51312991,0.24857,0,7.68567,7.349471429,7.79682
12/02/2008,7.79682,54.7537,24.15,16.66,35.5,32023402,96.96984843,95.23066909,95.9040361,84.14107799,110.102649,0.13338,0.04227469,100.8627281,105.1266686,7.02078,7.82107,5.305598827,0,0.02425,7.73013,7.416595714,7.60887
13/02/2008,7.60887,55.305,25.059999,16.805,37.630001,28831832,73.48461183,90.15148675,93.87429182,69.68310595,108.3764197,0.03637,0.038633139,98.27720267,102.0739595,7.02078,7.82107,2.298490928,0,0.18795,7.742253333,7.454271429,7.48762
14/02/2008,7.48762,55.6875,26.34,16.915001,37.880001,22069828,55.28542502,75.24662843,86.87626142,66.66690468,105.8269991,-0.33345,0.019163131,98.11975638,100.0000382,7.07534,7.82107,2.000021421,0,0.12125,7.631103333,7.487617143,7.54218
15/02/2008,7.54218,55.125,25.59,16.93,37.599998,29850165,58.18176366,62.31726683,75.90512734,66.66690468,105.4236975,-0.25464,0.003358676,99.94641911,100.2821067,7.15416,7.82107,2.000021421,0.05456,0,7.546223333,7.520962857,7.621
18/02/2008,7.621,56.103699,26.139999,17.08,38.790001,8969548,67.96163146,60.47627338,66.01338955,66.66690468,105.8972292,0.01213,-0.000535046,100.9368323,100.8828264,7.1966,7.82107,2.000021421,0.07882,0,7.550266667,7.554308571,7.58462
19/02/2008,7.58462,57.577499,26.799999,17.075001,38.869999,13231572,50,58.71446504,60.50266842,63.91311207,103.217808,0.097,7.59E-05,100.0266399,100.0342351,7.34817,7.82107,1.771089605,0,0.03638,7.5826,7.582024286,7.50581
20/02/2008,7.50581,56.2388,27.01,16.66,36.529999,20390254,5.455090718,41.13890739,53.44321527,55.96362206,99.67795741,-0.03637,-0.003003657,99.14580456,98.8480046,7.48762,7.82107,1.270849799,0,0.07881,7.570476667,7.593284286,7.50581
21/02/2008,7.50581,56.970001,26.799999,16.76,36.349998,14836263,5.455090718,20.30339381,40.05225542,48.93620755,100.1618697,-0.11519,-0.00783399,99.65122516,98.87055847,7.48762,7.82107,0.958334765,0,0,7.53208,7.591552143,7.53612
22/02/2008,7.53612,56.6325,26,16.969999,36.939999,23130880,14.54490928,8.485030239,23.30911048,51.87171436,100.6477359,-0.0485,-0.01035873,100.2688518,99.23019385,7.48762,7.82107,1.077780221,0.03031,0,7.515913333,7.594583571,7.63919
25/02/2008,7.63919,57.577499,26.4,17.125,37.57,15819135,45.45509072,21.81836357,16.86892921,56.15772753,100.6389406,0.13338,-0.005921662,101.042497,100.4441575,7.48762,7.82107,1.280903666,0.10307,0,7.560373333,7.60541,7.73013
26/02/2008,7.73013,58.173801,26.389999,17.32,37.139999,18370906,72.72754536,44.24251512,24.84863631,55.72131955,100.8702358,0.22432,0.002596941,101.2440276,101.5069524,7.48762,7.82107,1.258423218,0.09094,0,7.635146667,7.61537,7.71194
27/02/2008,7.71194,57.6562,26.299999,17.355,36.52,21796359,67.27245464,61.81836357,42.62641409,52.08326174,101.8413998,0.17582,0.0098334,100.2363822,101.2220467,7.48762,7.82107,1.086953404,0,0.01819,7.693753333,7.618834286,7.67556
28/02/2008,7.67556,56.216301,25.41,17.165001,36.34,23868982,56.3622732,65.45409107,57.17165659,54.64451815,98.13951288,0.03637,0.010448323,99.60657732,100.647299,7.48762,7.82107,1.204805151,0,0.03638,7.705876667,7.626195714,7.59069
29/02/2008,7.59069,54.787498,25.26,17.26,37.389999,26352304,33.33441138,52.32304641,59.86516702,37.82063482,97.35622985,-0.13944,0.006525409,99.10297547,99.74966293,7.48762,7.79682,0.608250578,0,0.08487,7.659396667,7.60974,7.60281
03/03/2008,7.60281,54.438801,24.98,16.790001,36.48,33320812,47.4990722,45.73191893,54.5030188,39.61013228,99.92035611,-0.10913,0.003572706,99.73488198,100.0912054,7.48762,7.73013,0.655906922,0.01212,0,7.62302,7.595882143,7.51793
04/03/2008,7.51793,52.436199,24.709999,17.08,36.790001,23061771,12.49845367,31.11064575,43.0552037,44.52551229,100.4048015,-0.15763,-0.002491606,99.30590016,99.05846897,7.48762,7.73013,0.802630437,0,0.08488,7.570476667,7.589386429,7.60281
05/03/2008,7.60281,53.8312,25.110001,16.85,37.439999,23633450,43.24179743,34.41310777,37.08522415,57.25186034,100.803879,0.01212,-0.003040115,100.3735332,100.0683861,7.50581,7.73013,1.339283084,0.08488,0,7.574516667,7.597614286,7.46337
06/03/2008,7.46337,58.713699,24.809999,16.809999,37.119999,17670245,0,18.5800837,28.03461241,45.5175238,97.93163627,-0.13944,-0.008423137,99.14098895,98.30591077,7.46337,7.73013,0.835452552,0,0.13944,7.528036667,7.591985,7.51793
07/03/2008,7.51793,59.096199,25,16.620001,36.650002,26932724,20.45284151,21.23154631,24.74157926,43.97131593,99.12072062,0,-0.007460647,99.86574631,99.12068328,7.46337,7.73013,0.784800084,0.05456,0,7.528036667,7.584622857,7.27542
10/03/2008,7.27542,57.678699,24.58,15.9,36.59,29359967,0,6.817613835,15.54308128,35.42829136,96.93051116,-0.32739,-0.018992366,98.06593245,96.20342833,7.27542,7.73013,0.548665849,0,0.24251,7.418906667,7.562537143,7.09353
11/03/2008,7.09353,59.220001,24.65,16.889999,36.5,34256181,0,6.817613835,11.62225799,32.29098656,94.50718843,-0.36984,-0.031522516,97.22989298,94.16496212,7.09353,7.73013,0.476908242,0,0.18189,7.295626667,7.533088571,7.05109
12/03/2008,7.05109,59.5462,25.389999,17.27,35.869999,19701799,0,0,4.54507589,31.15509582,93.56392945,-0.46684,-0.048075464,98.75457749,94.00690534,7.05109,7.73013,0.452540332,0,0.04244,7.140013333,7.500608571,6.99653
13/03/2008,6.99653,58.162498,25.24,17.184999,35.919998,21730548,0,0,2.272537945,28.0784575,91.58732798,-0.27889,-0.055616823,99.28310428,93.76129343,6.99653,7.73013,0.390403995,0,0.05456,7.04705,7.462066429,6.86314
14/03/2008,6.86314,58.657501,25.07,17.92,36.009998,27515454,0,0,0,19.23000674,88.78427659,-0.23039,-0.058917578,98.46327919,92.66206127,6.86314,7.73013,0.23808355,0,0.13339,6.970253333,7.406634286,6.80251
17/03/2008,6.80251,56.564999,23.92,17.35,35.450001,29699246,0,0,0,12.31454247,88.2075068,-0.24858,-0.061711062,98.76755502,92.67250431,6.80251,7.71194,0.140439964,0,0.06063,6.887393333,7.340375714,6.91771
18/03/2008,6.91771,57.633801,24.190001,17.889999,36.220001,22452981,13.19512055,4.398373518,1.466124506,20.09113161,90.12645331,-0.07882,-0.058010103,100.8247925,94.97593581,6.80251,7.67556,0.251425555,0.1152,0,6.86112,7.283645,6.62063
19/03/2008,6.62063,57.172501,24.780001,17.895,36.52,41383855,0,4.398373518,2.932249012,16.79372974,87.22039762,-0.24251,-0.059377377,97.64532947,91.84740591,6.62063,7.60281,0.201832502,0,0.29708,6.780283333,7.208292857,6.62063
20/03/2008,6.62063,57.735001,24.92,17.945,36.029999,28719179,0,4.398373518,4.398373518,17.74165658,87.08135545,-0.18188,-0.058740163,98.5263136,92.73886189,6.62063,7.60281,0.215682153,0,0,6.719656667,7.139002857,6.58425
25/03/2008,6.58425,56.9925,26.190001,18.424999,36.619999,37503335,0,0,2.932249012,16.66666667,87.58062392,-0.33346,-0.064779102,99.63299809,93.17886193,6.58425,7.60281,0.2,0,0.03638,6.608503333,7.066248571,6.65094
26/03/2008,6.65094,57.8587,26.5,18.48,37.200001,21437122,6.547478794,2.182492931,2.19362215,21.28506607,87.48002383,0.03031,-0.055068016,100.4885218,94.95481819,6.58425,7.60281,0.270406961,0.06669,0,6.618606667,7.004320714,6.6752
27/03/2008,6.6752,57.993801,29.26,18.83,37.220001,16775451,9.741024762,5.429501185,2.537331372,17.99203605,89.43948913,0.05457,-0.043422234,100.5786426,96.21129323,6.58425,7.51793,0.219393766,0.02426,0,6.636796667,6.938062857,6.62063
28/03/2008,6.62063,57.555,28.83,19.48,36.82,12436730,3.896409905,6.728304487,4.780099534,19.11139456,88.06453372,0.03638,-0.033287036,99.57446745,96.25992859,6.58425,7.51793,0.236268068,0,0.05457,6.648923333,6.877867143,6.48725
31/03/2008,6.48725,57.172501,29.67,19.924999,36.790001,19004931,0,4.545811556,5.567872409,14.2864073,89.16667354,-0.16369,-0.03084649,98.3757332,95.34118711,6.48725,7.27542,0.166676099,0,0.13338,6.59436,6.804247143,6.55394
01/04/2008,6.55394,57.048801,29.02,20.385,37.450001,24870657,10.99986805,4.965425984,5.413180676,21.531614,92.39320902,-0.12126,-0.029436,100,97.05639998,6.48725,7.09353,0.274398584,0.06669,0,6.55394,6.752712857,6.6752
