output,price,profit:,buy_and_hold,long and short,landsprof
1,3.327,-3.327,-3.327,0.053,0.053
0,3.38,0.053,0.053,0.018,0.071
0,3.362,0.053,0.035,0.058,0.129
1,3.304,-3.251,-0.023,-0.036,0.093
1,3.268,-3.251,-0.059,-0.015,0.078
1,3.253,-3.251,-0.074,-0.002,0.076
1,3.251,-3.251,-0.076,0.117,0.193
0,3.368,0.117,0.041,0.021,0.214
0,3.347,0.117,0.02,0.04,0.254
0,3.307,0.117,-0.02,0.054,0.308
1,3.253,-3.136,-0.074,0.065,0.373
0,3.318,0.182,-0.009,0.005,0.378
0,3.313,0.182,-0.014,0,0.378
0,3.313,0.182,-0.014,0.074,0.452
1,3.239,-3.057,-0.088,-0.054,0.398
1,3.185,-3.057,-0.142,-0.003,0.395
1,3.182,-3.057,-0.145,0.03,0.425
0,3.212,0.155,-0.115,0.009,0.434
0,3.203,0.155,-0.124,-0.165,0.269
0,3.368,0.155,0.041,-0.049,0.22
0,3.417,0.155,0.09,0.039,0.259
0,3.378,0.155,0.051,-0.059,0.2
0,3.437,0.155,0.11,-0.049,0.151
0,3.486,0.155,0.159,0.049,0.2
0,3.437,0.155,0.11,0.007,0.207
1,3.43,-3.275,0.103,-0.03,0.177
1,3.4,-3.275,0.073,-0.043,0.134
1,3.357,-3.275,0.03,0.016,0.15
1,3.373,-3.275,0.046,-0.093,0.057
1,3.28,-3.275,-0.047,-0.085,-0.028
1,3.195,-3.275,-0.132,0.037,0.009
1,3.232,-3.275,-0.095,0.069,0.078
0,3.301,0.026,-0.026,-0.114,-0.036
0,3.415,0.026,0.088,-0.06,-0.096
0,3.475,0.026,0.148,-0.049,-0.145
0,3.524,0.026,0.197,-0.034,-0.179
0,3.558,0.026,0.231,0.01,-0.169
0,3.548,0.026,0.221,-0.045,-0.214
0,3.593,0.026,0.266,0.038,-0.176
1,3.555,-3.529,0.228,-0.012,-0.188
1,3.543,-3.529,0.216,-0.002,-0.19
1,3.541,-3.529,0.214,0.027,-0.163
0,3.568,0.039,0.241,0.029,-0.134
1,3.539,-3.5,0.212,-0.083,-0.217
1,3.456,-3.5,0.129,0.015,-0.202
1,3.471,-3.5,0.144,0.127,-0.075
0,3.598,0.098,0.271,-0.017,-0.092
0,3.615,0.098,0.288,0.015,-0.077
0,3.6,0.098,0.273,-0.03,-0.107
0,3.63,0.098,0.303,0.014,-0.093
0,3.616,0.098,0.289,-0.024,-0.117
0,3.64,0.098,0.313,0.016,-0.101
0,3.624,0.098,0.297,0.042,-0.059
1,3.582,-3.484,0.255,0.038,-0.021
0,3.62,0.136,0.293,0.014,-0.007
0,3.606,0.136,0.279,0.033,0.026
1,3.573,-3.437,0.246,-0.022,0.004
1,3.551,-3.437,0.224,-0.012,-0.008
1,3.539,-3.437,0.212,-0.026,-0.034
1,3.513,-3.437,0.186,0.057,0.023
0,3.57,0.133,0.243,0.041,0.064
0,3.529,0.133,0.202,0.123,0.187
1,3.406,-3.273,0.079,-0.091,0.096
1,3.315,-3.273,-0.012,-0.157,-0.061
1,3.158,-3.273,-0.169,0.148,0.087
0,3.306,0.033,-0.021,-0.006,0.081
0,3.312,0.033,-0.015,-0.133,-0.052
0,3.445,0.033,0.118,-0.005,-0.057
0,3.45,0.033,0.123,-0.022,-0.079
0,3.472,0.033,0.145,0.09,0.011
1,3.382,-3.349,0.055,0.041,0.052
0,3.423,0.074,0.096,-0.106,-0.054
0,3.529,0.074,0.202,0.032,-0.022
0,3.497,0.074,0.17,-0.007,-0.029
0,3.504,0.074,0.177,-0.018,-0.047
0,3.522,0.074,0.195,0.014,-0.033
0,3.508,0.074,0.181,0.205,0.172
0,3.303,0.074,-0.024,0.048,0.22
1,3.255,-3.181,-0.072,0.002,0.222
1,3.257,-3.181,-0.07,0,0.222
0,3.257,0.076,-0.07,-0.058,0.164
0,3.315,0.076,-0.012,0.004,0.168
0,3.311,0.076,-0.016,0,0.168
0,3.311,0.076,-0.016,-0.08,0.088
0,3.391,0.076,0.064,0.077,0.165
1,3.314,-3.238,-0.013,0.026,0.191
0,3.34,0.102,0.013,0.041,0.232
1,3.299,-3.197,-0.028,0.131,0.363
0,3.43,0.233,0.103,0.092,0.455
0,3.338,0.233,0.011,0.068,0.523
1,3.27,-3.037,-0.057,0.074,0.597
0,3.344,0.307,0.017,0.144,0.741
1,3.2,-2.893,-0.127,0.012,0.753
1,3.212,-2.893,-0.115,0.088,0.841
0,3.3,0.407,-0.027,-0.039,0.802
0,3.339,0.407,0.012,0.103,0.905
1,3.236,-2.829,-0.091,-0.039,0.866
1,3.197,-2.829,-0.13,-0.027,0.839
1,3.17,-2.829,-0.157,0.043,0.882
0,3.213,0.384,-0.114,0.065,0.947
1,3.148,-2.764,-0.179,-0.092,0.855
1,3.056,-2.764,-0.271,-0.001,0.854
1,3.055,-2.764,-0.272,0.1,0.954
0,3.155,0.391,-0.172,-0.039,0.915
0,3.194,0.391,-0.133,-0.025,0.89
0,3.219,0.391,-0.108,0.021,0.911
0,3.198,0.391,-0.129,-0.117,0.794
0,3.315,0.391,-0.012,-0.078,0.716
0,3.393,0.391,0.066,-0.012,0.704
0,3.405,0.391,0.078,0.096,0.8
1,3.309,-2.918,-0.018,-0.054,0.746
1,3.255,-2.918,-0.072,0.023,0.769
