,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5
SVM,0.5053533,0.4775161,0.4946467,0.48608137,0.492505353
SVR,0.3973456,2.3802462,0.40028,0.133773577,0.139299016
MLP,0.4998837,0.5122232,0.49999425,0.49633452,0.49297398
MLP Reg,0.5839373,1.2310393,0.0857462,0.05617182,0.02886502
RNN,0.4967482,0.4985013,0.50321287,0.5078179,0.4868381
RNN Reg,0.388919,1.5988204,0.53422076,0.07032181,0.09193794
AE SVM,0.4732334,0.496788,0.466880942,0.464668094,0.488222698
AE SVR,0.4159817,3.0418163,1.10663284,0.552469041,1.192020797
AE MLP,0.4953396,0.4956971,0.49009582,0.49047193,0.4952373
AE MLP Reg,0.3251435,2.9395235,0.700055,0.46293378,0.6654148
AE RNN,0.4978627,0.4968552,0.5008697,0.4987097,0.49928015
AE RNN Reg,0.5420215,2.8771923,0.79907376,0.35173625,0.58343124
