MSE,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5
SVM,0.505353319,0.47751606,0.494646681,0.48608137,0.492505353
SVR,0.218232737,9.223313087,0.24325343,0.027218199,0.024403618
MLP,0.26779357,0.33536112,0.2816803,0.25790796,0.27341437
MLP Reg,0.3979998,2.67062,0.01061037,0.00535633,0.00140317
RNN,0.25128642,0.34675285,0.32399637,0.30122712,0.25336137
RNN Reg,0.17189465,4.643264,0.32230368,0.00817965,0.01458676
AE SVM,0.473233405,0.496788009,0.466809422,0.464668094,0.488222698
AE SVR,0.267383649,11.53000469,2.463742763,0.454032826,1.995170974
AE MLP,0.2626788,0.26310447,0.2624369,0.26902062,0.27926183
AE MLP Reg,0.16338402,10.861558,0.6763687,0.28178778,0.5230367
AE RNN,0.25046968,0.24803352,0.2522605,0.24930151,0.24994816
AE RNN Reg,0.47966784,10.426144,0.8275157,0.16618541,0.41073775
